UTM,NASDAQ,XAU,XAG
14/10/2022,10699.3,1643.99,18.27
16/10/2022,10745.3,1647.66,18.398
17/10/2022,11159.9,1650.77,18.659
18/10/2022,11294.2,1652.42,18.771
19/10/2022,11042.2,1627.13,18.41
20/10/2022,10976.2,1627.05,18.615
21/10/2022,11334.1,1657.99,19.406
23/10/2022,11406.9,1661.34,19.472
24/10/2022,11428.8,1651.86,19.303
25/10/2022,11424.2,1652.86,19.328
26/10/2022,11452.1,1667.61,19.617
27/10/2022,11091.2,1662,19.552
28/10/2022,11583.4,1644.48,19.263
30/10/2022,11514.8,1643.51,19.221
31/10/2022,11429,1632.58,19.164
1/11/2022,11301.1,1646.89,19.633
2/11/2022,10880.1,1633.78,19.157
3/11/2022,10675.2,1629.85,19.455
4/11/2022,10834,1681.39,20.864
6/11/2022,10759.2,1672.76,20.525
7/11/2022,10987.9,1674.18,20.768
8/11/2022,11088,1711.69,21.388
9/11/2022,10811.7,1706.54,21.045
10/11/2022,11641.2,1752.3,21.609
11/11/2022,11801.7,1771.57,21.714
13/11/2022,11775.2,1763.54,21.593
14/11/2022,11733.1,1769.59,21.933
15/11/2022,11859.5,1780.82,21.593
16/11/2022,11742.6,1773.95,21.428
17/11/2022,11685.6,1760.19,20.968
18/11/2022,11682,1751.13,20.947
20/11/2022,11678.9,1752.42,21.002
21/11/2022,11563.5,1738.64,20.864
22/11/2022,11717.6,1741.23,21.087
23/11/2022,11865,1752.35,21.582
24/11/2022,11894.1,1755.56,21.496
25/11/2022,11767.3,1754.79,21.456
27/11/2022,11705.7,1751.08,21.285
28/11/2022,11596.9,1741.32,20.923
29/11/2022,11483,1749.02,21.222
30/11/2022,12052.2,1773.43,22.349
1/12/2022,12021.2,1802.33,22.703
2/12/2022,11960.6,1797.895,23.156
4/12/2022,11983.3,1799.03,23.252
5/12/2022,11804.4,1769.67,22.255
6/12/2022,11564.9,1771,22.184
7/12/2022,11497.8,1786.98,22.723
8/12/2022,11628.4,1789.28,23.102
9/12/2022,11545.2,1797.56,23.478
11/12/2022,11528.9,1795.01,23.368
12/12/2022,11702.1,1782.05,23.347
13/12/2022,11836.8,1809.74,23.695
14/12/2022,11759.4,1807.72,23.882
15/12/2022,11351.6,1776.57,23.062
16/12/2022,11213.4,1793.18,23.222
18/12/2022,11246.4,1790.96,23.146
19/12/2022,11109.7,1787.33,22.987
20/12/2022,11120.2,1817.26,24.133
21/12/2022,11251,1814.97,23.958
22/12/2022,10957.4,1793.52,23.588
23/12/2022,10974.6,1798.46,23.748
26/12/2022,11063.9,1801.83,23.855
27/12/2022,10822.6,1812.48,24.028
28/12/2022,10703.6,1805.895,23.542
29/12/2022,10935.1,1815.17,23.876
30/12/2022,10956,1823.83,23.962
2/01/2023,10968.3,1829.43,24.102
3/01/2023,10868,1836.66,23.978
4/01/2023,10912.9,1854.94,23.81
5/01/2023,10762.5,1832.97,23.222
6/01/2023,11028.4,1866.09,23.831
8/01/2023,11064.8,1869.8,24.014
9/01/2023,11096.6,1870.57,23.655
10/01/2023,11208.5,1877.205,23.618
11/01/2023,11396.8,1876.99,23.433
12/01/2023,11453.1,1898.12,23.809
13/01/2023,11532.8,1920.55,24.262
15/01/2023,11517.9,1917.07,24.279
16/01/2023,11523.4,1917.97,24.299
17/01/2023,11527,1908.7,23.955
18/01/2023,11413.8,1906.87,23.492
19/01/2023,11320.8,1931.805,23.867
20/01/2023,11615.3,1926.14,23.94
22/01/2023,11596.9,1927.23,24.016
23/01/2023,11856.3,1931.395,23.407
24/01/2023,11779.1,1937.055,23.635
25/01/2023,11848.4,1948.705,23.966
26/01/2023,11983.2,1930.8,23.921
27/01/2023,12163.3,1928.42,23.604
29/01/2023,12147.1,1929.01,23.643
30/01/2023,11948.1,1922.06,23.583
31/01/2023,12050.1,1927.625,23.68
1/02/2023,12494,1953.22,24.055
2/02/2023,12611.4,1915.08,23.473
3/02/2023,12565.3,1865.205,22.353
5/02/2023,12540.2,1865.56,22.278
6/02/2023,12488.9,1868.56,22.289
7/02/2023,12707.9,1873.025,22.221
8/02/2023,12515.9,1875.05,22.29
9/02/2023,12391.2,1862.42,21.943
10/02/2023,12297.5,1865.65,22.019
12/02/2023,12264.5,1862.84,21.924
13/02/2023,12496.3,1854.44,22.011
14/02/2023,12562.6,1854.975,21.868
15/02/2023,12701.6,1836.47,21.641
16/02/2023,12390.5,1834.425,21.529
17/02/2023,12348.9,1842.71,21.736
19/02/2023,12324.4,1838.77,21.595
20/02/2023,12343.2,1841.82,21.806
21/02/2023,12081,1835.63,21.862
22/02/2023,12135.3,1825.22,21.517
23/02/2023,12145.4,1823.28,21.327
24/02/2023,11974.6,1811.06,20.761
26/02/2023,11991.7,1811.84,20.779
27/02/2023,12068.5,1817.24,20.63
